Toy_ID,Toy_Name,Priority_Level,Production_Line,Defect_Rate,Materials_Shortage,Elf_Staff,Hours_Worked,Delivery_Deadline,Production_Status,Defective_Units,Units_Produced
fcd284a6-f11a-4edd-94ae-db97e547c9b6,Puzzle,Low,Line 2,0.003,No,Lisa,11,2024-12-13,Not Started,7,16
bfd49212-72f1-4999-8c1c-6c44dbef4c35,Board Game,Low,Line 2,0.05,No,Jennifer,7,2024-12-12,Not Started,5,96
d4d2a008-cfe5-43c4-9a34-1f70f09858c3,Doll,Low,Line 4,0.044,No,Jenna,3,2024-12-21,Not Started,7,53
c5d2d947-1d0d-4e71-8a96-3918724eafbb,Puzzle,Medium,Line 4,0.03,Yes,Shawn,11,2024-12-24,Not Started,4,48
7168baa5-65fd-4571-8a17-da6ceca11dcb,RC Car,Low,Line 3,0.112,Yes,Elizabeth,2,2024-12-01,Complete,7,34
36cb8f90-c563-41dc-991f-b22216cbb6cb,Train Set,Low,Line 3,0.167,Yes,Catherine,4,2024-12-24,In Progress,1,25
dd69bc0a-f9ae-4d24-8cb2-0a61519d5740,Puzzle,High,Line 3,0.148,Yes,Julie,4,2024-12-02,In Progress,2,74
76e21011-64b1-404b-abdf-4f3b059b6fc0,Action Figure,High,Line 1,0.167,Yes,Michael,8,2024-12-22,Not Started,3,21
4ac6ac82-1c20-4f79-a569-491bcff68c8e,Stuffed Animal,High,Line 4,0.029,Yes,Kyle,1,2024-12-08,Not Started,0,15
b49e65df-5c07-4a9c-955f-29af2fd7478e,Action Figure,Low,Line 3,0.035,No,Emily,6,2024-12-03,Not Started,7,83
879ace5a-bf01-4ca9-9021-d6710b3550ba,Train Set,Medium,Line 3,0.012,No,William,8,2024-12-25,Complete,0,11
f45a8218-6d20-4ab1-b504-b92ad6c30d10,Doll,Low,Line 2,0.066,No,Susan,6,2024-12-18,Complete,7,54
6c156d83-f8f6-4200-a020-ac7dbb5246af,Doll,Low,Line 2,0.118,Yes,Anna,10,2024-12-18,In Progress,4,60
4a6fb084-7c99-4754-9deb-2a486d05e757,RC Car,High,Line 4,0.076,No,Anthony,5,2024-12-02,Complete,10,35
13c01781-75f1-4a6a-914d-38d4d74e2700,Train Set,High,Line 2,0.004,Yes,Scott,4,2024-12-09,In Progress,3,36
b39ded00-e3db-4fc1-96b9-8772a55bad9d,Doll,Medium,Line 4,0.01,No,Cory,1,2024-12-17,Complete,4,40
6ceaaf36-6a71-48b2-94ff-122003ca4ee2,Puzzle,Low,Line 4,0.045,Yes,Lindsay,10,2024-12-15,In Progress,6,82
d80fbc47-e773-4b91-802c-0938b9b11840,Train Set,Medium,Line 1,0.002,Yes,Kathryn,8,2024-12-10,In Progress,6,56
9f637579-7e58-4d72-b3d9-d62df93cab40,Action Figure,High,Line 1,0.014,No,Timothy,5,2024-12-12,Complete,3,55
1d92c48b-4068-420f-a36c-088a2d9cb226,Stuffed Animal,High,Line 4,0.155,No,Eric,6,2024-12-25,Not Started,2,23
b1e20074-e855-4606-b6c8-d68384485aad,RC Car,Medium,Line 2,0.059,Yes,James,9,2024-12-09,Complete,1,46
e4b9df21-df23-4632-b15a-7276ca449d04,Puzzle,High,Line 4,0.144,Yes,Bethany,8,2024-12-05,In Progress,5,87
7174bb2a-fd6e-42f1-8fe1-3e97c94438d0,Train Set,High,Line 3,0.043,Yes,Charles,9,2024-12-09,In Progress,7,29
6e59dc43-b121-48cb-b882-1323c6e81d48,RC Car,High,Line 4,0.122,Yes,Andrea,9,2024-12-20,Complete,1,73
f4a5f8b4-3d08-4e8e-9d79-d6ced898aae8,Action Figure,Medium,Line 1,0.143,Yes,Lisa,8,2024-12-02,In Progress,4,33
1e53000e-9e1e-4768-8cd4-a2c41d890399,Train Set,Low,Line 1,0.091,No,Emily,9,2024-12-04,In Progress,2,81
0e09279c-912c-4115-b930-78e2072e5af6,RC Car,Low,Line 4,0.186,No,Felicia,4,2024-12-01,Complete,2,95
2cf58e95-061b-458f-9c9f-64396e5f1ec0,Stuffed Animal,High,Line 4,0.053,No,Garrett,8,2024-12-21,Complete,8,22
066da2c8-4222-4e42-b9cc-d39335b57ffb,Train Set,Low,Line 2,0.084,Yes,Darlene,12,2024-12-14,In Progress,2,24
e378abc8-8dfe-4662-954d-0ed2971b28eb,Stuffed Animal,High,Line 4,0.001,Yes,Dana,3,2024-12-05,Complete,5,13
795bc5ad-04ed-4357-ac87-ee1b77825ac7,Action Figure,Low,Line 1,0.18,Yes,Jessica,10,2024-12-10,Complete,3,63
9dd901d8-285f-42a4-93a0-3b05bc3dff56,Puzzle,Low,Line 2,0.015,No,Charles,1,2024-12-18,Complete,1,67
ef723898-429f-4e60-ba6b-7335a24e59d9,Train Set,Medium,Line 2,0.168,No,Sherry,3,2024-12-17,Complete,2,61
11b80817-8ace-46ea-abb7-623404f7dda3,Action Figure,Medium,Line 2,0.067,No,David,3,2024-12-25,Complete,9,30
50592e82-00de-4c56-ae67-da7ae32465fe,Puzzle,Medium,Line 3,0.185,Yes,Tina,8,2024-12-03,Not Started,9,30
47ca303a-69fc-4b06-9ed9-f8aa23563c3e,RC Car,High,Line 1,0.105,No,Sandra,5,2024-12-15,Not Started,1,62
f8618c36-9481-4fd7-bee6-1be408ec67bd,Board Game,Medium,Line 2,0.002,No,Isaac,10,2024-12-07,In Progress,2,80
fbd36a6f-cef7-4a01-a81a-59a1c3134df7,Puzzle,Medium,Line 1,0.114,Yes,Lisa,9,2024-12-12,Not Started,0,81
8b0b835d-cd25-45a8-a45e-28ba8f5f9dd0,Puzzle,Medium,Line 2,0.085,No,Brian,11,2024-12-22,Complete,4,73
e03c3660-b40f-4c7b-a522-c36403dca1be,Action Figure,Low,Line 2,0.188,No,Connie,5,2024-12-08,Complete,8,27
f226a911-8427-441b-93dc-63ac9affa42b,Puzzle,Low,Line 3,0.071,No,Kathleen,12,2024-12-19,Not Started,9,62
74da3c27-469f-4e0e-bb1e-2ff3f084fd72,Doll,Low,Line 2,0.089,Yes,Steven,11,2024-12-22,In Progress,5,56
d044a04c-b1aa-4f2e-97ae-d59242a8af0c,Puzzle,Low,Line 2,0.183,No,Arthur,12,2024-12-04,Complete,0,76
3f20a36f-d91b-4f5e-97a1-42583b079b08,RC Car,Medium,Line 3,0.075,Yes,Darlene,3,2024-12-04,Not Started,4,20
32da43dc-50f2-4cc8-97f0-5ee1cbc8b6a3,Board Game,Low,Line 2,0.155,No,Carl,10,2024-12-19,Complete,4,49
f35f5daa-6b26-49cd-9eba-fdea2dab93f4,Doll,Medium,Line 4,0.021,Yes,Andrea,9,2024-12-11,In Progress,9,61
dcd9145d-50fc-49d3-83ac-76fffc728298,Doll,Low,Line 4,0.103,No,Mariah,9,2024-12-24,Not Started,8,44
7147ecb4-e89b-4a39-a390-8e63a65520b3,Doll,Medium,Line 2,0.071,Yes,Lisa,11,2024-12-23,Not Started,2,37
37f28bfb-2e5d-4ad7-bf1a-b7caab06c56b,Puzzle,Low,Line 3,0.172,No,Paula,5,2024-12-12,In Progress,2,89
fff82e62-b113-4007-87e1-739376ccdc36,Board Game,Low,Line 4,0.024,Yes,David,9,2024-12-18,Not Started,2,56
d4c9833d-40f6-40ac-adf4-8da736b7cc6b,Puzzle,Low,Line 1,0.197,No,Matthew,5,2024-12-02,Complete,0,17
d00abb08-f13d-467f-ba0f-baa5b129aa80,Action Figure,Low,Line 1,0.133,Yes,Brandon,10,2024-12-07,In Progress,9,65
4c318f15-32f6-4dff-a7dc-afcb0aa4015f,Stuffed Animal,Medium,Line 4,0.125,No,Albert,6,2024-12-08,Not Started,9,72
af715d2d-da53-423f-bdc0-4938b66f8194,Stuffed Animal,Medium,Line 3,0.007,Yes,Jessica,7,2024-12-18,Not Started,7,53
f0909b3f-a861-465f-879c-76cf4210cefb,Stuffed Animal,Medium,Line 2,0.109,No,Mark,4,2024-12-07,Complete,1,76
9abc86c4-76c9-4418-82b9-a524f9b4220b,Stuffed Animal,Low,Line 4,0.05,No,Todd,5,2024-12-03,In Progress,1,67
9a4ca65f-123f-49a5-9fdc-cb406bc2c4da,Board Game,Low,Line 4,0.087,Yes,Matthew,9,2024-12-21,Not Started,7,68
1cb969bc-140f-4e3f-a6da-4e8e90f87f57,Stuffed Animal,High,Line 1,0.123,No,Tracey,9,2024-12-20,Not Started,0,29
4478492a-713f-42d0-ad57-ff9c09755e19,Puzzle,High,Line 1,0.113,No,Carl,12,2024-12-02,Not Started,5,13
46057921-439f-4e16-819c-16a0cb35e801,Doll,Medium,Line 1,0.19,Yes,Lance,8,2024-12-02,Not Started,9,20
f12d8015-9795-442c-8875-0dd02cc7ea76,Stuffed Animal,Low,Line 3,0.022,Yes,Jose,8,2024-12-21,In Progress,9,24
fc1ef6b6-76a1-467e-81cb-a8a806f45853,Stuffed Animal,Low,Line 3,0.159,Yes,Joe,9,2024-12-12,Not Started,4,78
383a676b-a961-47e9-ae08-78b352744e30,Stuffed Animal,Low,Line 1,0.179,Yes,Nathan,1,2024-12-13,Complete,2,64
1fa8362a-787d-4e83-b956-a8c1ecda0b7a,Action Figure,Medium,Line 1,0.137,Yes,Warren,2,2024-12-22,Not Started,7,27
13b64975-ef10-4264-b07f-1e2b260d0241,RC Car,Low,Line 3,0.069,No,Denise,4,2024-12-19,Not Started,2,96
f031974b-e450-4184-831a-192d1573fd2f,Train Set,High,Line 3,0.065,Yes,Luis,6,2024-12-06,Not Started,3,25
25fc1459-615b-4b23-8f9e-d7de6c565c05,Doll,High,Line 3,0.029,Yes,Tiffany,4,2024-12-24,Complete,3,95
57d5f1e8-d892-4e5e-b37d-98f0e575f9d7,RC Car,Low,Line 1,0.036,No,Jason,12,2024-12-04,Not Started,1,15
28c5daa3-c9e3-4481-b889-377940a1d5bd,Train Set,Low,Line 3,0.164,Yes,Nicholas,6,2024-12-02,Not Started,6,60
7ff0d76d-739d-40ac-a038-b9ef41d9d604,RC Car,Low,Line 3,0.136,Yes,Christopher,8,2024-12-23,Not Started,0,55
bb82ec3e-4bae-4aee-a64e-b99eadf30adc,Doll,Medium,Line 1,0.076,No,Patrick,12,2024-12-08,Not Started,9,93
bd1ecf28-6673-4211-9cf1-3dd1b3bc19e6,Action Figure,Low,Line 4,0.008,No,David,12,2024-12-13,In Progress,1,78
daea2783-34a7-412d-9b8c-c21521b25213,Stuffed Animal,Medium,Line 3,0.053,Yes,Debbie,1,2024-12-12,Not Started,7,34
7d46e4e5-9ec3-40d2-a54d-3c33143b0e55,Action Figure,Low,Line 4,0.061,No,Pamela,11,2024-12-13,In Progress,2,48
dae9d4b5-7455-475f-8c1a-05ade5d50cd1,Action Figure,Medium,Line 2,0.091,No,Ruth,5,2024-12-25,Complete,2,99
2bc0773f-ceb1-4e8f-a56b-aabeb3ed432b,Doll,Low,Line 3,0.185,No,Phillip,10,2024-12-20,Complete,0,83
500816b9-98e5-4213-9625-a759c92d2c90,Action Figure,High,Line 4,0.146,No,Robin,6,2024-12-14,Complete,3,59
cf6f9b52-4109-468c-a817-b7b01cc2ece7,Board Game,High,Line 4,0.119,Yes,Kelly,3,2024-12-07,Not Started,2,37
361ac5fb-29e7-4203-82cb-b193552d3663,Doll,High,Line 3,0.011,Yes,Taylor,7,2024-12-23,Complete,1,72
35d8ce5c-03e2-4164-8c71-acd48ad62eba,Puzzle,Low,Line 2,0.034,No,Debra,10,2024-12-25,Complete,0,95
837afca3-9ca4-4468-8507-bf0aee126734,Puzzle,High,Line 4,0.18,No,Jonathan,10,2024-12-22,Complete,6,72
5fa7059e-5fd0-4326-9152-16a5f1b5be14,Action Figure,Low,Line 3,0.169,No,Casey,3,2024-12-23,Not Started,0,90
3a8e1cd6-f60c-4fca-8fa7-e6160a8fe549,RC Car,Medium,Line 3,0.189,No,Garrett,2,2024-12-11,Complete,1,47
29159927-08ba-4901-88de-e87eb447e836,Board Game,Medium,Line 2,0.152,No,Bruce,1,2024-12-09,Not Started,7,75
eafeb856-0cac-44c1-bc6b-933fb1a52654,RC Car,Low,Line 2,0.122,Yes,Kathryn,4,2024-12-13,In Progress,0,100
a2d26610-6702-41f6-9a77-257a107274e4,Puzzle,Medium,Line 2,0.009,No,Yvonne,7,2024-12-10,Not Started,1,31
23e2428c-792c-42ea-a5fd-8113ccd908aa,Board Game,High,Line 4,0.08,Yes,Brittany,1,2024-12-14,Not Started,7,15
2451c4eb-250f-4ac9-8afe-1354fb733354,RC Car,Medium,Line 2,0.078,No,Dean,7,2024-12-10,Complete,0,27
d922b89e-a379-463b-8b73-33b3d1fb510b,RC Car,High,Line 3,0.142,No,Christina,10,2024-12-09,Complete,0,24
5dbd39e1-3eb6-4532-bfff-5a2575c5bca1,Puzzle,High,Line 1,0.022,No,Jonathan,12,2024-12-10,In Progress,6,69
0c5e3a8f-408f-41b3-90a9-93a8f5633d77,Action Figure,Low,Line 4,0.081,Yes,Gregory,8,2024-12-20,In Progress,6,92
e10e3cac-123f-4c4b-b2ac-06d083e18ae3,Doll,High,Line 4,0.181,Yes,Christopher,8,2024-12-25,Complete,2,50
fbd83289-8c75-4f0a-b641-663ba3acdb39,Stuffed Animal,High,Line 4,0.002,No,Charlene,3,2024-12-14,Not Started,9,68
6d82d60c-1179-41aa-9c4e-4215e73caa30,Board Game,Medium,Line 4,0.06,No,Sarah,3,2024-12-03,Not Started,2,78
d9228a86-fc4b-45eb-8b5f-e27565678133,Board Game,Medium,Line 4,0.163,No,Christine,5,2024-12-13,Complete,6,30
bccdde64-f2e6-47a0-863f-6735979ec4b7,Board Game,High,Line 4,0.118,Yes,Sean,8,2024-12-17,Complete,6,96
1f65a443-30c3-4d6b-a23b-850374cd9fa2,Action Figure,High,Line 3,0.198,Yes,Brenda,5,2024-12-19,In Progress,5,94
13684781-f859-458f-95b8-1ac798872755,Action Figure,Medium,Line 3,0.032,Yes,Joshua,2,2024-12-02,Complete,0,71
edbb71fb-2598-454f-8d22-2fb1896586fd,Stuffed Animal,Low,Line 3,0.065,No,Jennifer,1,2024-12-23,Not Started,9,90
d5e2cd03-491a-4ec4-b1ca-ae68557585e6,Board Game,Medium,Line 4,0.031,No,Leah,7,2024-12-16,Complete,9,77
4d983eb1-d35e-4d04-8e3a-ef6663a67cd4,Action Figure,Low,Line 2,0.015,No,Ashley,8,2024-12-15,Complete,3,91
95f1e1a1-82c2-4236-a6c0-44dddc69311e,Puzzle,High,Line 3,0.107,Yes,Debra,7,2024-12-12,In Progress,9,31
6bd2188b-3a9d-4ff2-9e87-98252ccea6c3,Board Game,High,Line 4,0.121,No,Timothy,5,2024-12-15,Complete,3,15
f51eb0ef-236e-4838-84cb-74537932043d,Doll,Medium,Line 4,0.19,Yes,Harold,1,2024-12-13,Not Started,5,72
18dae302-41cd-45ba-8457-32bdb21f0f96,Doll,High,Line 2,0.083,No,Ronnie,3,2024-12-22,Not Started,4,94
1e4c661d-b9fb-4735-80b5-905487a189db,Board Game,High,Line 2,0.128,No,Jennifer,8,2024-12-22,Complete,5,31
e9202da8-b897-44f8-81f0-9710e447aa8c,Puzzle,Low,Line 3,0.039,Yes,Caitlyn,7,2024-12-16,In Progress,3,50
9a760578-6e27-4845-9a71-b870ae96d14c,Stuffed Animal,Low,Line 4,0.186,Yes,Michael,6,2024-12-07,In Progress,2,34
95c30fba-b99d-44dc-b888-4ecf38f117aa,Puzzle,Low,Line 2,0.198,No,Trevor,2,2024-12-11,In Progress,6,81
2756b4c6-e003-4707-b7ce-d0f3933d6043,Puzzle,Medium,Line 1,0.136,Yes,William,3,2024-12-24,Complete,4,90
d85740ba-54ad-4b29-99df-05043ef18707,Action Figure,High,Line 2,0.089,Yes,Ashley,7,2024-12-10,Not Started,0,64
cc1af3f7-5b8e-4dd1-bf4b-6e09cce89b27,Board Game,High,Line 4,0.056,Yes,Melanie,10,2024-12-03,Not Started,5,58
ae29a872-e534-461b-a8a9-caaa9d2c5589,Stuffed Animal,Low,Line 3,0.024,No,Heather,12,2024-12-05,In Progress,7,61
51aed7f4-4ff7-4a7e-b443-bc2203223e8f,Doll,High,Line 3,0.154,No,Catherine,5,2024-12-03,Complete,1,62
fc13547e-feb9-4785-8b84-586b4125686c,RC Car,Medium,Line 4,0.081,No,Laura,3,2024-12-08,Complete,2,84
08eecf8e-afdf-486f-b882-6956a58c5096,Puzzle,High,Line 4,0.05,Yes,Aaron,11,2024-12-21,In Progress,0,33
a14b5aaf-6f92-4611-bc3d-a48bfbf6be01,RC Car,Medium,Line 4,0.012,No,Diane,8,2024-12-05,Complete,8,25
f47109d9-b1df-4341-b781-f8bab8b01dba,Train Set,High,Line 2,0.08,Yes,Gloria,12,2024-12-02,Not Started,0,13
cdde1b27-3367-4ad7-8a85-2c14744f47c0,Doll,Medium,Line 3,0.189,Yes,Molly,10,2024-12-08,Complete,5,100
c9170c9b-8e28-41ce-82bc-ba01131e4219,Puzzle,Medium,Line 3,0.116,Yes,Jamie,11,2024-12-19,In Progress,7,98
b64b6358-f016-441a-9de8-2af9fa8792e4,Doll,High,Line 3,0.009,Yes,Justin,6,2024-12-01,Complete,5,27
9698805c-243d-44b8-a45a-f1f532f94776,RC Car,High,Line 2,0.089,No,Johnny,11,2024-12-14,In Progress,7,47
5f61c556-7b22-462f-9162-b47025ef1842,Puzzle,Low,Line 3,0.18,Yes,Kristin,2,2024-12-05,In Progress,9,59
e3694740-777d-48e1-b6e2-49461aba4347,RC Car,Low,Line 1,0.175,No,David,1,2024-12-09,Not Started,6,74
efe9fd70-4b97-48c8-82da-1dae6b9fbc53,RC Car,Low,Line 3,0.09,No,Cheryl,7,2024-12-20,Complete,7,47
46788d40-21be-4ebc-996c-9d3e39306d34,RC Car,High,Line 2,0.101,No,Carrie,1,2024-12-25,In Progress,6,92
9786af71-a2ea-46c4-b7dc-1ca4a4e75402,Train Set,Low,Line 2,0.115,Yes,Michele,2,2024-12-16,Complete,8,56
130e7013-c259-485a-a172-788def874460,RC Car,Medium,Line 1,0.026,No,Antonio,11,2024-12-08,In Progress,3,52
1ca8053d-f79e-422d-ae75-7e17bd214793,Board Game,Low,Line 4,0.125,No,Patricia,4,2024-12-14,Not Started,8,50
d8f95a8c-8165-4473-909d-03467b51aab2,RC Car,High,Line 2,0.053,No,Michael,6,2024-12-23,Not Started,0,31
78ebb138-3220-4b06-9b91-224c50712301,Puzzle,Low,Line 2,0.087,No,Pedro,4,2024-12-20,Complete,3,74
86d892ee-f0b1-4ee3-942a-ff09ac4e25f8,Stuffed Animal,Low,Line 3,0.143,Yes,Christian,3,2024-12-22,In Progress,3,90
6f8dd1fd-efdd-4291-ab45-5391c63125ae,Doll,Low,Line 3,0.159,No,Eric,3,2024-12-09,Complete,3,33
55650b96-b47e-4bd5-b11f-3a4f69e34c9f,Doll,High,Line 1,0.142,Yes,Melissa,11,2024-12-09,Complete,0,63
a870c93d-0e50-454b-a08c-ce7e55a16ec0,RC Car,High,Line 4,0.094,Yes,James,11,2024-12-15,Not Started,6,67
1f4c150d-8263-4969-9680-87be822ae2f5,Board Game,Low,Line 3,0.139,Yes,Valerie,4,2024-12-05,Complete,2,69
ecb769d2-fb4e-4a9e-95e0-2221d6284356,Action Figure,Low,Line 3,0.12,Yes,Tracy,12,2024-12-15,Not Started,5,74
a172f6e2-8d6a-4383-83fa-2d95bbd37ed7,Puzzle,Medium,Line 4,0.088,Yes,Robert,8,2024-12-05,Not Started,1,90
d1534014-f175-4ec6-87a2-5e982049825d,Action Figure,Low,Line 1,0.103,Yes,Michael,12,2024-12-03,Complete,5,93
ece26c50-41cd-4aa7-bcf3-c9549a118aff,Stuffed Animal,Low,Line 3,0.063,Yes,Angelica,4,2024-12-13,Complete,3,68
652e123f-00b1-49ab-9c18-b70ad415b26a,Action Figure,Low,Line 4,0.127,Yes,Donald,5,2024-12-12,Complete,4,66
846d2f12-fdaa-4557-a7fb-6091e9662c83,Board Game,High,Line 4,0.18,Yes,Justin,6,2024-12-19,Complete,0,10
a98cc7eb-5994-4e40-9e16-da48bfb19543,Doll,Low,Line 4,0.021,Yes,Thomas,8,2024-12-17,In Progress,9,52
dfbbc817-667e-44e3-bbaa-29faf773c620,RC Car,High,Line 3,0.135,Yes,Lauren,12,2024-12-13,Not Started,8,48
3a82437f-fcb4-4b00-9193-89c274cb59cc,Action Figure,Medium,Line 1,0.166,Yes,Katelyn,11,2024-12-14,Complete,8,56
83cd52e7-56ac-4cc2-934e-590632e41f72,Action Figure,High,Line 1,0.009,No,Donna,2,2024-12-14,In Progress,8,58
b9db1b30-d0bc-486d-aaa9-f26dc660c2e3,Train Set,Low,Line 4,0.182,No,David,7,2024-12-07,In Progress,2,99
6a8ae3da-582b-4272-89b2-9b5f530ca2a8,Stuffed Animal,Medium,Line 3,0.112,No,Robert,5,2024-12-04,Not Started,3,99
dc556169-5577-4e3c-a079-117a4cfe14a3,Train Set,Medium,Line 3,0.115,No,Noah,2,2024-12-20,Not Started,2,33
f46eacca-8cd2-4185-b9c3-7c28549a0818,Board Game,Low,Line 3,0.018,No,Janet,2,2024-12-07,Complete,8,53
01d97d99-e91e-4711-8cc1-4ec074411f53,Board Game,High,Line 1,0.07,Yes,Dustin,2,2024-12-24,In Progress,7,37
5484a332-3143-416c-9bd6-aacb54f57eb4,Board Game,Low,Line 2,0.036,No,Kimberly,3,2024-12-08,Complete,1,79
def8d8f2-63b8-4bdf-ba1d-e35be31eb2a1,Action Figure,Medium,Line 2,0.027,No,Robert,3,2024-12-04,Not Started,9,30
290319d0-df98-49f4-a223-b8cde21108ee,Train Set,Medium,Line 3,0.043,No,Carol,9,2024-12-23,Not Started,4,42
1fb88a8a-c02b-4ebb-985e-9ecaad925c53,Action Figure,Medium,Line 1,0.044,No,Sara,11,2024-12-10,Complete,9,72
8c988767-9847-415e-998b-f7d1233332bc,Puzzle,Low,Line 4,0.008,No,Alexandra,5,2024-12-03,Not Started,1,80
252534da-b8ca-4a49-b86b-f715901acc42,Action Figure,High,Line 4,0.186,Yes,Michelle,8,2024-12-11,Not Started,0,82
a4140433-f231-4668-941f-c70610769794,RC Car,Medium,Line 4,0.127,Yes,Kara,10,2024-12-03,Complete,2,27
